image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C3_C3_EndoCV2021_00157,5.920662848879488e-10,5.920662848879488e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000115,5.920662848879488e-10,5.920662848879488e-10,0.0,,,
PolypGen__C2_EndoCV2021_001251,6.153846321410583e-10,6.153846321410583e-10,0.0,,,
PolypGen__C2_EndoCV2021_001318,6.253908502173999e-10,6.253908502173999e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00383,6.285355014234995e-10,6.285355014234995e-10,0.0,,,
PolypGen__C2_EndoCV2021_001413,6.301197341684883e-10,6.301197341684883e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000048,6.514657702183513e-10,6.514657702183513e-10,0.0,,,
PolypGen__C4_23_endocv2021_positive_1299,6.540222252660044e-10,6.540222252660044e-10,0.0,,,
PolypGen__C4_12_endocv2021_positive_679,6.548788733518052e-10,6.548788733518052e-10,0.0,,,
PolypGen__C2_EndoCV2021_001094,6.561679533056974e-10,6.561679533056974e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0054,6.605019864380779e-10,6.605019864380779e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000221,6.693440246507976e-10,6.693440246507976e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000368,6.877579061814743e-10,6.877579061814743e-10,0.0,,,
PolypGen__C4_10_endocv2021_positive_895,7.022472048312522e-10,7.022472048312522e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00400,7.067137985927729e-10,7.067137985927729e-10,0.0,,,
PolypGen__C1_226OLCV1_100H0002,7.215006925243017e-10,7.215006925243017e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000102,7.278020408563179e-10,7.278020408563179e-10,0.0,,,
PolypGen__C2_EndoCV2021_001161,7.43494432686731e-10,7.43494432686731e-10,0.0,,,
PolypGen__C4_32_endocv2021_positive_339,7.518796696359686e-10,7.518796696359686e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000372,7.53579476597821e-10,7.53579476597821e-10,0.0,,,
PolypGen__C1_176OLCV1_100H0002,7.547169555977007e-10,7.547169555977007e-10,0.0,,,
PolypGen__C1_143OLCV1_100H0018,7.627765086226646e-10,7.627765086226646e-10,0.0,,,
PolypGen__C2_EndoCV2021_001040,7.680491798112143e-10,7.680491798112143e-10,0.0,,,
PolypGen__C2_EndoCV2021_001369,7.716049466033326e-10,7.716049466033326e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00116,7.739938134854185e-10,7.739938134854185e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000007,7.800312062933301e-10,7.800312062933301e-10,0.0,,,
PolypGen__C1_732OLCV1_100H0012,7.836990500997842e-10,7.836990500997842e-10,0.0,,,
PolypGen__C2_EndoCV2021_001414,7.84313725077368e-10,7.84313725077368e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000025,7.942811963701502e-10,7.942811963701502e-10,0.0,,,
PolypGen__C4_12_endocv2021_positive_566,7.987220329574996e-10,7.987220329574996e-10,0.0,,,
PolypGen__C2_EndoCV2021_001283,8.038585352920791e-10,8.038585352920791e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000269,8.136696316718428e-10,8.136696316718428e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0098,8.29875501651145e-10,8.29875501651145e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0043,8.305647836159835e-10,8.305647836159835e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000178,8.319467337258857e-10,8.319467337258857e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00228,8.431703113487288e-10,8.431703113487288e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000313,8.605852142018477e-10,8.605852142018477e-10,0.0,,,
PolypGen__C2_EndoCV2021_001347,8.650519189856709e-10,8.650519189856709e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000212,8.673026741234935e-10,8.673026741234935e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0026,8.748906599187478e-10,8.748906599187478e-10,0.0,,,
PolypGen__C4_18_endocv2021_positive_1492,8.771929849160642e-10,8.771929849160642e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0068,8.857395927819312e-10,8.857395927819312e-10,0.0,,,
PolypGen__C4_18_endocv2021_positive_960,8.888889069247341e-10,8.888889069247341e-10,0.0,,,
PolypGen__C4_14_endocv2021_positive_503,9.233610542835891e-10,9.233610542835891e-10,0.0,,,
PolypGen__C1_962OLCV1_100H0004,9.28505106134736e-10,9.28505106134736e-10,0.0,,,
PolypGen__C4_14_endocv2021_positive_491,9.39849642556112e-10,9.39849642556112e-10,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100043,9.852216820149806e-10,9.852216820149806e-10,0.0,,,
PolypGen__C4_30_endocv2021_positive_1417,9.891196750544395e-10,9.891196750544395e-10,0.0,,,
PolypGen__C2_EndoCV2021_001239,9.930486433162855e-10,9.930486433162855e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000227,9.999999717180685e-10,9.999999717180685e-10,0.0,,,
PolypGen__C1_231OLCV1_100H0010,1.00300900918171e-09,1.00300900918171e-09,0.0,,,
